InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,OrderYear,OrderMonthNumber,OrderMonthName,OrderDayName
581586,21217,RED RETROSPOT ROUND CAKE TINS,24,2011-12-09 12:49:00,8.95,13113,United Kingdom,214.79999999999998,2011,12,December,Friday
581586,20685,DOORMAT RED RETROSPOT,10,2011-12-09 12:49:00,7.08,13113,United Kingdom,70.8,2011,12,December,Friday
581585,22481,BLACK TEA TOWEL CLASSIC DESIGN,12,2011-12-09 12:31:00,0.39,15804,United Kingdom,4.68,2011,12,December,Friday
581585,22915,ASSORTED BOTTLE TOP  MAGNETS,24,2011-12-09 12:31:00,0.19,15804,United Kingdom,4.5600000000000005,2011,12,December,Friday
581585,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2011-12-09 12:31:00,1.95,15804,United Kingdom,23.4,2011,12,December,Friday
581585,22460,EMBOSSED GLASS TEALIGHT HOLDER,12,2011-12-09 12:31:00,1.25,15804,United Kingdom,15.0,2011,12,December,Friday
581585,84832,ZINC WILLIE WINKIE  CANDLE STICK,24,2011-12-09 12:31:00,0.85,15804,United Kingdom,20.4,2011,12,December,Friday
581585,23084,RABBIT NIGHT LIGHT,12,2011-12-09 12:31:00,2.08,15804,United Kingdom,24.96,2011,12,December,Friday
581585,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-12-09 12:31:00,1.69,15804,United Kingdom,27.04,2011,12,December,Friday
581585,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,24,2011-12-09 12:31:00,0.85,15804,United Kingdom,20.4,2011,12,December,Friday
581585,22113,GREY HEART HOT WATER BOTTLE,4,2011-12-09 12:31:00,4.25,15804,United Kingdom,17.0,2011,12,December,Friday
581585,23356,LOVE HOT WATER BOTTLE,3,2011-12-09 12:31:00,5.95,15804,United Kingdom,17.85,2011,12,December,Friday
581585,22726,ALARM CLOCK BAKELIKE GREEN,8,2011-12-09 12:31:00,3.75,15804,United Kingdom,30.0,2011,12,December,Friday
581585,22727,ALARM CLOCK BAKELIKE RED,4,2011-12-09 12:31:00,3.75,15804,United Kingdom,15.0,2011,12,December,Friday
581585,16016,LARGE CHINESE STYLE SCISSOR,10,2011-12-09 12:31:00,0.85,15804,United Kingdom,8.5,2011,12,December,Friday
581585,21916,SET 12 RETRO WHITE CHALK STICKS,24,2011-12-09 12:31:00,0.42,15804,United Kingdom,10.08,2011,12,December,Friday
581585,84692,BOX OF 24 COCKTAIL PARASOLS,25,2011-12-09 12:31:00,0.42,15804,United Kingdom,10.5,2011,12,December,Friday
581585,84946,ANTIQUE SILVER T-LIGHT GLASS,12,2011-12-09 12:31:00,1.25,15804,United Kingdom,15.0,2011,12,December,Friday
581585,21684,SMALL MEDINA STAMPED METAL BOWL,12,2011-12-09 12:31:00,0.85,15804,United Kingdom,10.2,2011,12,December,Friday
581585,22398,MAGNETS PACK OF 4 SWALLOWS,12,2011-12-09 12:31:00,0.39,15804,United Kingdom,4.68,2011,12,December,Friday
581585,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,4,2011-12-09 12:31:00,3.75,15804,United Kingdom,15.0,2011,12,December,Friday
581585,23145,ZINC T-LIGHT HOLDER STAR LARGE,12,2011-12-09 12:31:00,0.95,15804,United Kingdom,11.399999999999999,2011,12,December,Friday
581585,22466,FAIRY TALE COTTAGE NIGHT LIGHT,12,2011-12-09 12:31:00,1.95,15804,United Kingdom,23.4,2011,12,December,Friday
581584,20832,RED FLOCK LOVE HEART PHOTO FRAME,72,2011-12-09 12:25:00,0.72,13777,United Kingdom,51.839999999999996,2011,12,December,Friday
581584,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,48,2011-12-09 12:25:00,1.85,13777,United Kingdom,88.80000000000001,2011,12,December,Friday
581583,20725,LUNCH BAG RED RETROSPOT,40,2011-12-09 12:23:00,1.45,13777,United Kingdom,58.0,2011,12,December,Friday
581583,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,36,2011-12-09 12:23:00,1.85,13777,United Kingdom,66.60000000000001,2011,12,December,Friday
581582,23552,BICYCLE PUNCTURE REPAIR KIT,6,2011-12-09 12:21:00,2.08,17581,United Kingdom,12.48,2011,12,December,Friday
581582,23498,CLASSIC BICYCLE CLIPS,12,2011-12-09 12:21:00,1.45,17581,United Kingdom,17.4,2011,12,December,Friday
581581,23562,SET OF 6 RIBBONS PERFECTLY PRETTY,6,2011-12-09 12:20:00,2.89,17581,United Kingdom,17.34,2011,12,December,Friday
581581,23561,SET OF 6 RIBBONS PARTY,6,2011-12-09 12:20:00,2.89,17581,United Kingdom,17.34,2011,12,December,Friday
581581,23681,LUNCH BAG RED VINTAGE DOILY,10,2011-12-09 12:20:00,1.65,17581,United Kingdom,16.5,2011,12,December,Friday
581580,23334,IVORY WICKER HEART SMALL,4,2011-12-09 12:20:00,0.63,12748,United Kingdom,2.52,2011,12,December,Friday
581580,21790,VINTAGE SNAP CARDS,1,2011-12-09 12:20:00,0.85,12748,United Kingdom,0.85,2011,12,December,Friday
581580,84993A,75 GREEN PETIT FOUR CASES,2,2011-12-09 12:20:00,0.42,12748,United Kingdom,0.84,2011,12,December,Friday
581580,22906,12 MESSAGE CARDS WITH ENVELOPES,1,2011-12-09 12:20:00,1.65,12748,United Kingdom,1.65,2011,12,December,Friday
581580,21803,CHRISTMAS TREE STAR DECORATION,2,2011-12-09 12:20:00,0.42,12748,United Kingdom,0.84,2011,12,December,Friday
581580,21809,CHRISTMAS HANGING TREE WITH BELL,2,2011-12-09 12:20:00,0.39,12748,United Kingdom,0.78,2011,12,December,Friday
581580,20974,12 PENCILS SMALL TUBE SKULL,1,2011-12-09 12:20:00,0.65,12748,United Kingdom,0.65,2011,12,December,Friday
581580,23338,EGG FRYING PAN RED,1,2011-12-09 12:20:00,2.08,12748,United Kingdom,2.08,2011,12,December,Friday
581580,85049A,TRADITIONAL CHRISTMAS RIBBONS,1,2011-12-09 12:20:00,1.25,12748,United Kingdom,1.25,2011,12,December,Friday
581580,23126,FELTCRAFT GIRL AMELIE KIT,1,2011-12-09 12:20:00,4.95,12748,United Kingdom,4.95,2011,12,December,Friday
581580,22695,WICKER WREATH SMALL,1,2011-12-09 12:20:00,0.59,12748,United Kingdom,0.59,2011,12,December,Friday
581580,22144,CHRISTMAS CRAFT LITTLE FRIENDS,1,2011-12-09 12:20:00,2.1,12748,United Kingdom,2.1,2011,12,December,Friday
581580,22908,PACK OF 20 NAPKINS RED APPLES,2,2011-12-09 12:20:00,0.85,12748,United Kingdom,1.7,2011,12,December,Friday
581580,22894,TABLECLOTH RED APPLES DESIGN,2,2011-12-09 12:20:00,9.95,12748,United Kingdom,19.9,2011,12,December,Friday
581580,22704,WRAP RED APPLES,25,2011-12-09 12:20:00,0.42,12748,United Kingdom,10.5,2011,12,December,Friday
581580,22721,SET OF 3 CAKE TINS SKETCHBOOK,1,2011-12-09 12:20:00,1.95,12748,United Kingdom,1.95,2011,12,December,Friday
581580,22816,CARD MOTORBIKE SANTA,24,2011-12-09 12:20:00,0.42,12748,United Kingdom,10.08,2011,12,December,Friday
581580,85049E,SCANDINAVIAN REDS RIBBONS,2,2011-12-09 12:20:00,1.25,12748,United Kingdom,2.5,2011,12,December,Friday
581580,22075,6 RIBBONS ELEGANT CHRISTMAS,2,2011-12-09 12:20:00,0.39,12748,United Kingdom,0.78,2011,12,December,Friday
581580,21351,CINAMMON & ORANGE WREATH,1,2011-12-09 12:20:00,6.75,12748,United Kingdom,6.75,2011,12,December,Friday
581580,22698,PINK REGENCY TEACUP AND SAUCER,1,2011-12-09 12:20:00,2.95,12748,United Kingdom,2.95,2011,12,December,Friday
581580,22567,20 DOLLY PEGS RETROSPOT,1,2011-12-09 12:20:00,1.45,12748,United Kingdom,1.45,2011,12,December,Friday
581580,79321,CHILLI LIGHTS,2,2011-12-09 12:20:00,5.75,12748,United Kingdom,11.5,2011,12,December,Friday
581580,37500,TEA TIME TEAPOT IN GIFT BOX,1,2011-12-09 12:20:00,4.95,12748,United Kingdom,4.95,2011,12,December,Friday
581579,22386,JUMBO BAG PINK POLKADOT,10,2011-12-09 12:19:00,1.79,17581,United Kingdom,17.9,2011,12,December,Friday
581579,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2011-12-09 12:19:00,1.79,17581,United Kingdom,17.9,2011,12,December,Friday
581579,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2011-12-09 12:19:00,1.79,17581,United Kingdom,17.9,2011,12,December,Friday
581579,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2011-12-09 12:19:00,1.79,17581,United Kingdom,17.9,2011,12,December,Friday
581579,20713,JUMBO BAG OWLS,10,2011-12-09 12:19:00,1.79,17581,United Kingdom,17.9,2011,12,December,Friday
581579,21931,JUMBO STORAGE BAG SUKI,10,2011-12-09 12:19:00,1.79,17581,United Kingdom,17.9,2011,12,December,Friday
581579,23199,JUMBO BAG APPLES,30,2011-12-09 12:19:00,1.79,17581,United Kingdom,53.7,2011,12,December,Friday
581579,23353,6 GIFT TAGS VINTAGE CHRISTMAS,12,2011-12-09 12:19:00,0.83,17581,United Kingdom,9.959999999999999,2011,12,December,Friday
581579,23350,ROLL WRAP VINTAGE SPOT,25,2011-12-09 12:19:00,1.25,17581,United Kingdom,31.25,2011,12,December,Friday
581579,23319,BOX OF 6 MINI 50'S CRACKERS,12,2011-12-09 12:19:00,2.49,17581,United Kingdom,29.880000000000003,2011,12,December,Friday
581579,23318,BOX OF 6 MINI VINTAGE CRACKERS,12,2011-12-09 12:19:00,2.49,17581,United Kingdom,29.880000000000003,2011,12,December,Friday
581579,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2011-12-09 12:19:00,2.95,17581,United Kingdom,35.400000000000006,2011,12,December,Friday
581579,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2011-12-09 12:19:00,2.95,17581,United Kingdom,35.400000000000006,2011,12,December,Friday
581579,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2011-12-09 12:19:00,1.25,17581,United Kingdom,30.0,2011,12,December,Friday
581579,23489,VINTAGE BELLS GARLAND,6,2011-12-09 12:19:00,2.89,17581,United Kingdom,17.34,2011,12,December,Friday
581579,23570,TRADITIONAL PICK UP STICKS GAME,12,2011-12-09 12:19:00,1.25,17581,United Kingdom,15.0,2011,12,December,Friday
581579,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-12-09 12:19:00,1.25,17581,United Kingdom,15.0,2011,12,December,Friday
581579,23480,MINI LIGHTS WOODLAND MUSHROOMS,8,2011-12-09 12:19:00,3.75,17581,United Kingdom,30.0,2011,12,December,Friday
581579,23084,RABBIT NIGHT LIGHT,24,2011-12-09 12:19:00,1.79,17581,United Kingdom,42.96,2011,12,December,Friday
581579,22197,POPCORN HOLDER,24,2011-12-09 12:19:00,0.85,17581,United Kingdom,20.4,2011,12,December,Friday
581579,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,2011-12-09 12:19:00,0.83,17581,United Kingdom,6.64,2011,12,December,Friday
581579,23313,VINTAGE CHRISTMAS BUNTING,15,2011-12-09 12:19:00,4.95,17581,United Kingdom,74.25,2011,12,December,Friday
581579,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,24,2011-12-09 12:19:00,2.55,17581,United Kingdom,61.199999999999996,2011,12,December,Friday
581579,22083,PAPER CHAIN KIT RETROSPOT,6,2011-12-09 12:19:00,2.95,17581,United Kingdom,17.700000000000003,2011,12,December,Friday
581579,23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,24,2011-12-09 12:19:00,0.39,17581,United Kingdom,9.36,2011,12,December,Friday
581579,22941,CHRISTMAS LIGHTS 10 REINDEER,4,2011-12-09 12:19:00,8.5,17581,United Kingdom,34.0,2011,12,December,Friday
581579,23201,JUMBO BAG ALPHABET,20,2011-12-09 12:19:00,1.79,17581,United Kingdom,35.8,2011,12,December,Friday
581579,23343,JUMBO BAG VINTAGE CHRISTMAS,30,2011-12-09 12:19:00,1.79,17581,United Kingdom,53.7,2011,12,December,Friday
581579,23344,JUMBO BAG 50'S CHRISTMAS,20,2011-12-09 12:19:00,1.79,17581,United Kingdom,35.8,2011,12,December,Friday
581579,23581,JUMBO BAG PAISLEY PARK,40,2011-12-09 12:19:00,1.79,17581,United Kingdom,71.6,2011,12,December,Friday
581578,POST,POSTAGE,3,2011-12-09 12:16:00,18.0,12713,Germany,54.0,2011,12,December,Friday
581578,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,2011-12-09 12:16:00,1.25,12713,Germany,30.0,2011,12,December,Friday
581578,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,2011-12-09 12:16:00,1.25,12713,Germany,30.0,2011,12,December,Friday
581578,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2011-12-09 12:16:00,1.25,12713,Germany,30.0,2011,12,December,Friday
581578,23389,SPACEBOY MINI BACKPACK,4,2011-12-09 12:16:00,4.15,12713,Germany,16.6,2011,12,December,Friday
581578,22556,PLASTERS IN TIN CIRCUS PARADE,12,2011-12-09 12:16:00,1.65,12713,Germany,19.799999999999997,2011,12,December,Friday
581578,22976,CIRCUS PARADE CHILDRENS EGG CUP,12,2011-12-09 12:16:00,1.25,12713,Germany,15.0,2011,12,December,Friday
581578,23255,CHILDRENS CUTLERY CIRCUS PARADE,12,2011-12-09 12:16:00,4.15,12713,Germany,49.800000000000004,2011,12,December,Friday
581578,84997D,CHILDRENS CUTLERY POLKADOT PINK,8,2011-12-09 12:16:00,4.15,12713,Germany,33.2,2011,12,December,Friday
581578,84997B,CHILDRENS CUTLERY RETROSPOT RED,8,2011-12-09 12:16:00,4.15,12713,Germany,33.2,2011,12,December,Friday
581578,84997C,CHILDRENS CUTLERY POLKADOT BLUE,8,2011-12-09 12:16:00,4.15,12713,Germany,33.2,2011,12,December,Friday
581578,22555,PLASTERS IN TIN STRONGMAN,12,2011-12-09 12:16:00,1.65,12713,Germany,19.799999999999997,2011,12,December,Friday
581578,21914,BLUE HARMONICA IN BOX,12,2011-12-09 12:16:00,1.25,12713,Germany,15.0,2011,12,December,Friday
581578,22549,PICTURE DOMINOES,24,2011-12-09 12:16:00,1.45,12713,Germany,34.8,2011,12,December,Friday
581578,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,2011-12-09 12:16:00,0.42,12713,Germany,10.08,2011,12,December,Friday
581578,22992,REVOLVER WOODEN RULER,12,2011-12-09 12:16:00,1.95,12713,Germany,23.4,2011,12,December,Friday
581578,22991,GIRAFFE WOODEN RULER,12,2011-12-09 12:16:00,1.95,12713,Germany,23.4,2011,12,December,Friday
581578,23229,VINTAGE DONKEY TAIL GAME,6,2011-12-09 12:16:00,3.75,12713,Germany,22.5,2011,12,December,Friday
581578,22622,BOX OF VINTAGE ALPHABET BLOCKS,6,2011-12-09 12:16:00,11.95,12713,Germany,71.69999999999999,2011,12,December,Friday
581578,21506,"FANCY FONT BIRTHDAY CARD, ",12,2011-12-09 12:16:00,0.42,12713,Germany,5.04,2011,12,December,Friday
581578,21507,ELEPHANT BIRTHDAY CARD,12,2011-12-09 12:16:00,0.42,12713,Germany,5.04,2011,12,December,Friday
581578,23037,CANDLE HOLDER SILVER MADELINE,12,2011-12-09 12:16:00,1.65,12713,Germany,19.799999999999997,2011,12,December,Friday
581578,23550,WRAP ALPHABET POSTER,25,2011-12-09 12:16:00,0.42,12713,Germany,10.5,2011,12,December,Friday
581578,22711,WRAP CIRCUS PARADE,25,2011-12-09 12:16:00,0.42,12713,Germany,10.5,2011,12,December,Friday
581578,21497,FANCY FONTS BIRTHDAY WRAP,25,2011-12-09 12:16:00,0.42,12713,Germany,10.5,2011,12,December,Friday
581578,22704,WRAP RED APPLES,25,2011-12-09 12:16:00,0.42,12713,Germany,10.5,2011,12,December,Friday
581578,22585,PACK OF 6 BIRDY GIFT TAGS,12,2011-12-09 12:16:00,1.25,12713,Germany,15.0,2011,12,December,Friday
581578,23205,CHARLOTTE BAG VINTAGE ALPHABET,10,2011-12-09 12:16:00,0.85,12713,Germany,8.5,2011,12,December,Friday
581578,23201,JUMBO BAG ALPHABET,10,2011-12-09 12:16:00,2.08,12713,Germany,20.8,2011,12,December,Friday
581578,23515,EMBROIDERED RIBBON REEL DAISY,6,2011-12-09 12:16:00,2.08,12713,Germany,12.48,2011,12,December,Friday
581578,22081,RIBBON REEL FLORA + FAUNA,10,2011-12-09 12:16:00,1.65,12713,Germany,16.5,2011,12,December,Friday
581578,22080,RIBBON REEL POLKADOTS,10,2011-12-09 12:16:00,1.65,12713,Germany,16.5,2011,12,December,Friday
581578,23298,SPOTTY BUNTING,9,2011-12-09 12:16:00,4.95,12713,Germany,44.550000000000004,2011,12,December,Friday
581578,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-12-09 12:16:00,1.25,12713,Germany,15.0,2011,12,December,Friday
581578,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2011-12-09 12:16:00,0.85,12713,Germany,10.2,2011,12,December,Friday
581578,22908,PACK OF 20 NAPKINS RED APPLES,12,2011-12-09 12:16:00,0.85,12713,Germany,10.2,2011,12,December,Friday
581578,23215,JINGLE BELL HEART ANTIQUE SILVER,12,2011-12-09 12:16:00,2.08,12713,Germany,24.96,2011,12,December,Friday
581578,22736,RIBBON REEL MAKING SNOWMEN,10,2011-12-09 12:16:00,1.65,12713,Germany,16.5,2011,12,December,Friday
581574,22326,ROUND SNACK BOXES SET OF4 WOODLAND,6,2011-12-09 12:09:00,2.95,12526,Germany,17.700000000000003,2011,12,December,Friday
581574,22328,ROUND SNACK BOXES SET OF 4 FRUITS,6,2011-12-09 12:09:00,2.95,12526,Germany,17.700000000000003,2011,12,December,Friday
581574,23199,JUMBO BAG APPLES,10,2011-12-09 12:09:00,2.08,12526,Germany,20.8,2011,12,December,Friday
581574,23581,JUMBO BAG PAISLEY PARK,10,2011-12-09 12:09:00,2.08,12526,Germany,20.8,2011,12,December,Friday
581574,23238,SET OF 4 KNICK KNACK TINS LONDON,6,2011-12-09 12:09:00,4.15,12526,Germany,24.900000000000002,2011,12,December,Friday
581574,23237,SET OF 4 KNICK KNACK TINS LEAF,6,2011-12-09 12:09:00,4.15,12526,Germany,24.900000000000002,2011,12,December,Friday
581574,21257,VICTORIAN SEWING BOX MEDIUM,2,2011-12-09 12:09:00,7.95,12526,Germany,15.9,2011,12,December,Friday
581574,21258,VICTORIAN SEWING BOX LARGE,2,2011-12-09 12:09:00,12.75,12526,Germany,25.5,2011,12,December,Friday
581574,23111,PARISIENNE SEWING BOX,2,2011-12-09 12:09:00,12.5,12526,Germany,25.0,2011,12,December,Friday
581574,22077,6 RIBBONS RUSTIC CHARM,12,2011-12-09 12:09:00,1.95,12526,Germany,23.4,2011,12,December,Friday
581574,22074,6 RIBBONS SHIMMERING PINKS,12,2011-12-09 12:09:00,0.39,12526,Germany,4.68,2011,12,December,Friday
581574,22621,TRADITIONAL KNITTING NANCY,12,2011-12-09 12:09:00,1.65,12526,Germany,19.799999999999997,2011,12,December,Friday
581574,POST,POSTAGE,2,2011-12-09 12:09:00,18.0,12526,Germany,36.0,2011,12,December,Friday
581572,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,48,2011-12-09 12:08:00,3.39,16705,United Kingdom,162.72,2011,12,December,Friday
581572,22627,MINT KITCHEN SCALES,4,2011-12-09 12:08:00,8.5,16705,United Kingdom,34.0,2011,12,December,Friday
581572,22624,IVORY KITCHEN SCALES,4,2011-12-09 12:08:00,8.5,16705,United Kingdom,34.0,2011,12,December,Friday
581572,23245,SET OF 3 REGENCY CAKE TINS,4,2011-12-09 12:08:00,4.95,16705,United Kingdom,19.8,2011,12,December,Friday
581571,23326,HANGING MINI COLOURED BOTTLES,6,2011-12-09 12:00:00,0.63,15311,United Kingdom,3.7800000000000002,2011,12,December,Friday
581571,21313,GLASS HEART T-LIGHT HOLDER,1,2011-12-09 12:00:00,0.85,15311,United Kingdom,0.85,2011,12,December,Friday
581571,48187,DOORMAT NEW ENGLAND,1,2011-12-09 12:00:00,8.25,15311,United Kingdom,8.25,2011,12,December,Friday
581571,23317,BLUE REFECTORY CLOCK,1,2011-12-09 12:00:00,9.95,15311,United Kingdom,9.95,2011,12,December,Friday
581571,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,4,2011-12-09 12:00:00,1.45,15311,United Kingdom,5.8,2011,12,December,Friday
581571,21012,ANTIQUE ALL GLASS CANDLESTICK,2,2011-12-09 12:00:00,2.1,15311,United Kingdom,4.2,2011,12,December,Friday
581571,22227,HANGING HEART MIRROR DECORATION,10,2011-12-09 12:00:00,0.65,15311,United Kingdom,6.5,2011,12,December,Friday
581571,22794,SWEETHEART WIRE MAGAZINE RACK,1,2011-12-09 12:00:00,7.95,15311,United Kingdom,7.95,2011,12,December,Friday
581571,23182,TOILET SIGN OCCUPIED OR VACANT,1,2011-12-09 12:00:00,0.83,15311,United Kingdom,0.83,2011,12,December,Friday
581571,21755,LOVE BUILDING BLOCK WORD,1,2011-12-09 12:00:00,6.25,15311,United Kingdom,6.25,2011,12,December,Friday
581571,85053,FRENCH ENAMEL CANDLEHOLDER,2,2011-12-09 12:00:00,2.1,15311,United Kingdom,4.2,2011,12,December,Friday
581571,23110,PARISIENNE KEY CABINET,2,2011-12-09 12:00:00,5.75,15311,United Kingdom,11.5,2011,12,December,Friday
581571,21169,YOU'RE CONFUSING ME METAL SIGN,1,2011-12-09 12:00:00,1.69,15311,United Kingdom,1.69,2011,12,December,Friday
581571,21258,VICTORIAN SEWING BOX LARGE,8,2011-12-09 12:00:00,10.95,15311,United Kingdom,87.6,2011,12,December,Friday
581571,23168,CLASSIC CAFE SUGAR DISPENSER,36,2011-12-09 12:00:00,1.04,15311,United Kingdom,37.44,2011,12,December,Friday
581571,23167,SMALL CERAMIC TOP STORAGE JAR,96,2011-12-09 12:00:00,0.69,15311,United Kingdom,66.24,2011,12,December,Friday
581571,21314,SMALL GLASS HEART TRINKET POT,48,2011-12-09 12:00:00,1.85,15311,United Kingdom,88.80000000000001,2011,12,December,Friday
581571,21137,BLACK RECORD COVER FRAME,24,2011-12-09 12:00:00,3.39,15311,United Kingdom,81.36,2011,12,December,Friday
581571,44234,ASSORTED CIRCULAR MOBILE,1,2011-12-09 12:00:00,0.21,15311,United Kingdom,0.21,2011,12,December,Friday
581571,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,24,2011-12-09 12:00:00,2.55,15311,United Kingdom,61.199999999999996,2011,12,December,Friday
581570,22141,CHRISTMAS CRAFT TREE TOP ANGEL,6,2011-12-09 11:59:00,2.1,12662,Germany,12.600000000000001,2011,12,December,Friday
581570,22175,PINK OWL SOFT TOY,6,2011-12-09 11:59:00,2.95,12662,Germany,17.700000000000003,2011,12,December,Friday
581570,21481,FAWN BLUE HOT WATER BOTTLE,4,2011-12-09 11:59:00,3.75,12662,Germany,15.0,2011,12,December,Friday
581570,23570,TRADITIONAL PICK UP STICKS GAME,12,2011-12-09 11:59:00,1.25,12662,Germany,15.0,2011,12,December,Friday
581570,22326,ROUND SNACK BOXES SET OF4 WOODLAND,6,2011-12-09 11:59:00,2.95,12662,Germany,17.700000000000003,2011,12,December,Friday
581570,22331,WOODLAND PARTY BAG + STICKER SET,8,2011-12-09 11:59:00,1.65,12662,Germany,13.2,2011,12,December,Friday
581570,22834,HAND WARMER BABUSHKA DESIGN,12,2011-12-09 11:59:00,2.1,12662,Germany,25.200000000000003,2011,12,December,Friday
581570,21914,BLUE HARMONICA IN BOX,12,2011-12-09 11:59:00,1.25,12662,Germany,15.0,2011,12,December,Friday
581570,22139,RETROSPOT TEA SET CERAMIC 11 PC,3,2011-12-09 11:59:00,4.95,12662,Germany,14.850000000000001,2011,12,December,Friday
581570,23077,DOUGHNUT LIP GLOSS,20,2011-12-09 11:59:00,1.25,12662,Germany,25.0,2011,12,December,Friday
581570,20750,RED RETROSPOT MINI CASES,2,2011-12-09 11:59:00,7.95,12662,Germany,15.9,2011,12,December,Friday
581570,22505,MEMO BOARD COTTAGE DESIGN,4,2011-12-09 11:59:00,4.95,12662,Germany,19.8,2011,12,December,Friday
581570,POST,POSTAGE,1,2011-12-09 11:59:00,18.0,12662,Germany,18.0,2011,12,December,Friday
581567,21417,COCKLE SHELL DISH,84,2011-12-09 11:56:00,0.79,16626,United Kingdom,66.36,2011,12,December,Friday
581567,22464,HANGING METAL HEART LANTERN,24,2011-12-09 11:56:00,0.79,16626,United Kingdom,18.96,2011,12,December,Friday
581567,22465,HANGING METAL STAR LANTERN,24,2011-12-09 11:56:00,0.79,16626,United Kingdom,18.96,2011,12,December,Friday
581567,84971S,SMALL HEART FLOWERS HOOK,48,2011-12-09 11:56:00,0.39,16626,United Kingdom,18.72,2011,12,December,Friday
581567,22624,IVORY KITCHEN SCALES,2,2011-12-09 11:56:00,8.5,16626,United Kingdom,17.0,2011,12,December,Friday
581567,22627,MINT KITCHEN SCALES,2,2011-12-09 11:56:00,8.5,16626,United Kingdom,17.0,2011,12,December,Friday
581567,22625,RED KITCHEN SCALES,2,2011-12-09 11:56:00,8.5,16626,United Kingdom,17.0,2011,12,December,Friday
581567,23355,HOT WATER BOTTLE KEEP CALM,4,2011-12-09 11:56:00,4.95,16626,United Kingdom,19.8,2011,12,December,Friday
